order_id,customer_id,product_id,order_date,quantity,unit_price,discount,region,sales_rep
ORD-001,CUST-101,PROD-A1,2024-01-05,3,299.99,0.10,North,Alice Johnson
ORD-002,CUST-102,PROD-B2,2024-01-07,1,149.50,0.00,South,Bob Smith
ORD-003,CUST-103,PROD-A1,2024-01-10,5,299.99,0.15,East,Carol White
ORD-004,CUST-104,PROD-C3,2024-01-12,2,89.00,0.05,West,David Brown
ORD-005,CUST-101,PROD-B2,2024-01-15,4,149.50,0.10,North,Alice Johnson
ORD-006,CUST-105,PROD-D4,2024-02-01,1,499.00,0.00,South,Bob Smith
ORD-007,CUST-106,PROD-A1,2024-02-03,2,299.99,0.00,East,Carol White
ORD-008,CUST-107,PROD-C3,2024-02-07,6,89.00,0.20,West,David Brown
ORD-009,CUST-102,PROD-D4,2024-02-10,1,499.00,0.05,South,Bob Smith
ORD-010,CUST-108,PROD-B2,2024-02-14,3,149.50,0.10,North,Alice Johnson
ORD-011,CUST-109,PROD-A1,2024-03-01,2,299.99,0.00,East,Carol White
ORD-012,CUST-110,PROD-C3,2024-03-05,4,89.00,0.10,West,David Brown
ORD-013,CUST-103,PROD-D4,2024-03-08,2,499.00,0.15,East,Carol White
ORD-014,CUST-111,PROD-B2,2024-03-12,1,149.50,0.00,South,Bob Smith
ORD-015,CUST-104,PROD-A1,2024-03-20,3,299.99,0.05,West,David Brown
ORD-016,CUST-112,PROD-D4,2024-04-01,1,499.00,0.00,North,Alice Johnson
ORD-017,CUST-113,PROD-B2,2024-04-04,5,149.50,0.10,South,Bob Smith
ORD-018,CUST-105,PROD-C3,2024-04-09,2,89.00,0.00,South,Bob Smith
ORD-019,CUST-114,PROD-A1,2024-04-15,4,299.99,0.20,East,Carol White
ORD-020,CUST-115,PROD-D4,2024-04-22,2,499.00,0.10,West,David Brown
